row,alt,temp,wind,ph,pressure,cloud,sunlight
1,200,32,2,6,10,7,15
2,210,32,2,6,10,7,15
3,230,31.8,3,6,10,6.5,15
4,280,31.5,3,5.8,10,7,15
5,380,31.2,3,5.8,10,7,15
6,340,32.2,3,5.9,10,7,15
7,380,31.2,3,5.8,10,7,14
8,510,32.1,4,5.8,10,7,14
9,510,32.3,4,5.8,11,8,15
10,710,32.3,4,5.8,11,8,15
11,735,30,5,5.7,11,8,15
12,905,29.1,6,5.7,11,8,15
13,970,29.3,6,5.7,11,8,15
14,1110,29,5,5.8,11,8,15
15,1290,27.9,6,5.9,16,7,15
16,1310,27.8,6,5.9,16,7,15
17,220,32,2,6,10,7,15
18,210,32,2,6,10,7,15
19,250,31.5,3,6,12,7,15
20,300,31.5,3,6,13,7.1,15
21,455,32.2,3,5.9,10,7.2,16
22,355,32.2,3,5.9,10,7,15
23,810,30.2,4,5.8,11,7.3,16
24,1060,29.3,4,5.9,11,7.3,15
25,1160,29.1,5,5.8,12,7.3,15
26,1260,29,5,5.8,12,7.3,15
27,1440,27.7,7,5.9,12,7.3,15
28,1740,25.6,8,5.9,12,7.3,15
29,1715,25,8,5.9,12,7.3,15
30,1395,26.1,8,5.9,12,7.3,15
31,1300,27.8,6,5.9,16,7,15
32,1270,27.4,7,5.2,16,7,16
33,230,31.8,2,6,10,7,15
34,230,31.8,3,6,10,7,15
35,250,31.5,3,6,12,7.2,15
36,280,31.5,3,5.8,10,7,15
37,530,31.2,4,5.8,10,7.2,16
38,560,31.2,4,5.8,11,7.3,16
39,955,30,4,5.9,11,7.3,15
40,980,30.1,5,5.7,11,7.3,16
41,780,32,5,5.7,11,7.3,15
42,1290,27.3,6,5.9,12,7.3,15
43,1440,27.4,6,5.9,12,7.3,14
44,1350,27,7,5.8,18,7.3,14
45,1490,25,7,5.8,18,7.3,14
46,1360,27,6,5.9,16,7,16
47,1330,23.8,6,5.9,16,7,16
48,1300,26.8,6,5.9,16,7,16
49,280,31.2,3,6,10,7,15
50,415,31,3,6,10,7,15
51,560,30.1,3,5.8,10,7,15
52,415,31,3,6,10,7,15
53,600,30.4,3,6,10,7,15
54,670,29.6,4,6,10,7,15
55,710,29.4,5,6,10,7,15
56,765,29.4,5,6,10,7.1,17
57,560,30.1,3,5.8,10,7,15
58,1075,27.2,4,5.9,15,6.8,17
59,1105,27.4,4,5.8,16,7,17
60,1010,27.4,5,6.1,15,6.8,17
61,1110,27.3,6,5.8,16,7,14
62,1275,27.1,6,5.9,16,7,14
63,1175,26.8,6,5.9,16,7,16
64,1350,26.8,6,5.9,16,7,16
65,280,31.2,3,5.8,11,7,15
66,550,30.1,3,6,10,7,15
67,705,30,4,5.8,10,7,15
68,500,29.9,3,6,11,7,15
69,640,29.4,4,6,11,7,15
70,765,30,5,6,10,7,15
71,815,29.5,5,6,10,7,15
72,1010,29.3,5,6,11,7,15
73,1035,29.3,5,5.9,11,7,15
74,1415,29.1,5,5.9,11,7,17
75,1350,27,7,5.8,18,7.3,14
76,990,28,9,5.9,14,7.7,15
77,1115,26.2,8,6,12,7.3,15
78,1395,26.1,8,5.9,12,7.3,15
79,910,28.1,9,5.9,14,7.7,15
80,900,28.8,6,6.9,16,7,16
81,350,31.2,3,6,13,7,14
82,555,30,3,6,10,7,15
83,915,30.1,4,6,10,7,15
84,765,30,5,6,10,7,15
85,805,29.1,5,6,12,7,14
86,920,27.7,8,5.9,18,7.3,14
87,930,27.8,8,5.9,14,7.3,15
88,1060,29.3,4,5.9,11,7.3,15
89,990,29.2,6,6.1,10,7,15
90,955,27.9,8,6,14,7.3,15
91,1220,27.3,8,5.8,18,7.3,14
92,1190,27.1,9,5.9,14,7.7,15
93,1740,25.6,8,5.9,12,7.3,15
94,1505,26.1,8,5.9,12,7.3,15
95,1390,26.8,6,5.9,16,7,16
96,910,28.8,6,6,16,7,16
97,480,30.9,4,5.5,13,7,14
98,700,29,4,6,10,7,15
99,990,29,5,6,10,7,15
100,790,29.4,5,6,10,7,15
